Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Lake Taylor Station,4521,H22721,-42.78135,172.27581,640,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Rain: Daily
Station,Date(NZST),Time(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
Lake Taylor Station,20050405,0900,7.2,-,-,-,24,D
Lake Taylor Station,20050406,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050407,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050408,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050409,0900,3.0,-,-,-,24,D
Lake Taylor Station,20050410,0900,1.0,-,-,-,24,D
Lake Taylor Station,20050411,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050412,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050413,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050414,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050415,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050416,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050417,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050418,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050419,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050420,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050421,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050422,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050423,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050424,0900,1.2,-,-,-,24,D
Lake Taylor Station,20050425,0900,1.9,-,-,-,24,D
Lake Taylor Station,20050426,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050427,0900,0.6,-,-,-,24,D
Lake Taylor Station,20050428,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050429,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050430,0900,14.1,-,-,-,24,D
Lake Taylor Station,20050501,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050502,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050503,0900,14.3,-,-,-,24,D
Lake Taylor Station,20050504,0900,0.3,-,-,-,24,D
Lake Taylor Station,20050505,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050506,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050507,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050508,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050509,0900,3.5,-,-,-,24,D
Lake Taylor Station,20050510,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050511,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050512,0900,2.4,-,-,-,24,D
Lake Taylor Station,20050513,0900,2.2,-,-,-,24,D
Lake Taylor Station,20050514,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050515,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050516,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050517,0900,2.5,-,-,-,24,D
Lake Taylor Station,20050518,0900,1.0,-,-,-,24,D
Lake Taylor Station,20050519,0900,0.4,-,-,-,24,D
Lake Taylor Station,20050520,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050521,0900,9.0,-,-,-,24,D
Lake Taylor Station,20050522,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050523,0900,4.0,-,-,-,24,D
Lake Taylor Station,20050524,0900,0.1,-,-,-,24,D
Lake Taylor Station,20050525,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050526,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050527,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050528,0900,1.5,-,-,-,24,D
Lake Taylor Station,20050529,0900,30.6,-,-,-,24,D
Lake Taylor Station,20050530,0900,10.8,-,-,-,24,D
Lake Taylor Station,20050531,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050601,0900,5.0,-,-,-,24,D
Lake Taylor Station,20050602,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050603,0900,1.5,-,-,-,24,D
Lake Taylor Station,20050604,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050605,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050606,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050607,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050608,0900,0.3,-,-,-,24,D
Lake Taylor Station,20050609,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050610,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050611,0900,0.4,-,-,-,24,D
Lake Taylor Station,20050612,0900,0.3,-,-,-,24,D
Lake Taylor Station,20050613,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050614,0900,1.1,-,-,-,24,D
Lake Taylor Station,20050615,0900,0.1,-,-,-,24,D
Lake Taylor Station,20050616,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050617,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050618,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050619,0900,0.1,-,-,-,24,D
Lake Taylor Station,20050620,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050621,0900,5.2,-,-,-,24,D
Lake Taylor Station,20050622,0900,1.8,-,-,-,24,D
Lake Taylor Station,20050623,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050624,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050625,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050626,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050627,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050628,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050629,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050630,0900,1.5,-,-,-,24,D
Lake Taylor Station,20050701,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050702,0900,2.0,-,-,-,24,D
Lake Taylor Station,20050703,0900,0.5,-,-,-,24,D
Lake Taylor Station,20050704,0900,0.5,-,-,-,24,D
Lake Taylor Station,20050705,0900,1.0,-,-,-,24,D
Lake Taylor Station,20050706,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050707,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050708,0900,1.4,-,-,-,24,D
Lake Taylor Station,20050709,0900,6.7,-,-,-,24,D
Lake Taylor Station,20050710,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050711,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050712,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050713,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050714,0900,13.0,-,-,-,24,D
Lake Taylor Station,20050715,0900,13.8,-,-,-,24,D
Lake Taylor Station,20050716,0900,0.1,-,-,-,24,D
Lake Taylor Station,20050717,0900,0.3,-,-,-,24,D
Lake Taylor Station,20050718,0900,0.7,-,-,-,24,D
Lake Taylor Station,20050719,0900,5.8,-,-,-,24,D
Lake Taylor Station,20050720,0900,1.5,-,-,-,24,D
Lake Taylor Station,20050721,0900,2.3,-,-,-,24,D
Lake Taylor Station,20050722,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050723,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050724,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050725,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050726,0900,2.5,-,-,-,24,D
Lake Taylor Station,20050727,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050728,0900,9.9,-,-,-,24,D
Lake Taylor Station,20050729,0900,8.2,-,-,-,24,D
Lake Taylor Station,20050730,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050731,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050801,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050802,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050803,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050804,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050805,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050806,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050807,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050808,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050809,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050810,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050811,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050812,0900,1.3,-,-,-,24,D
Lake Taylor Station,20050813,0900,14.7,-,-,-,24,D
Lake Taylor Station,20050814,0900,2.8,-,-,-,24,D
Lake Taylor Station,20050815,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050816,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050817,0900,7.4,-,-,-,24,D
Lake Taylor Station,20050818,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050819,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050820,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050821,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050822,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050823,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050824,0900,1.6,-,-,-,24,D
Lake Taylor Station,20050825,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050826,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050827,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050828,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050829,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050830,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050831,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050901,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050902,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050903,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050904,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050905,0900,0.8,-,-,-,24,D
Lake Taylor Station,20050906,0900,0.4,-,-,-,24,D
Lake Taylor Station,20050907,0900,1.4,-,-,-,24,D
Lake Taylor Station,20050908,0900,6.5,-,-,-,24,D
Lake Taylor Station,20050909,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050910,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050911,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050912,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050913,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050914,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050915,0900,4.0,-,-,-,24,D
Lake Taylor Station,20050916,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050917,0900,2.0,-,-,-,24,D
Lake Taylor Station,20050918,0900,0.7,-,-,-,24,D
Lake Taylor Station,20050919,0900,4.6,-,-,-,24,D
Lake Taylor Station,20050920,0900,3.8,-,-,-,24,D
Lake Taylor Station,20050921,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050922,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050923,0900,1.4,-,-,-,24,D
Lake Taylor Station,20050924,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050925,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050926,0900,0.1,-,-,-,24,D
Lake Taylor Station,20050927,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050928,0900,0.2,-,-,-,24,D
Lake Taylor Station,20050929,0900,0.0,-,-,-,24,D
Lake Taylor Station,20050930,0900,0.0,-,-,-,24,D
Lake Taylor Station,20051001,0900,15.2,-,-,-,24,D
Lake Taylor Station,20051002,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051003,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051004,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051005,0800,7.0,-,-,-,24,D
Lake Taylor Station,20051006,0800,0.4,-,-,-,24,D
Lake Taylor Station,20051007,0800,0.2,-,-,-,24,D
Lake Taylor Station,20051008,0800,3.3,-,-,-,24,D
Lake Taylor Station,20051009,0800,3.4,-,-,-,24,D
Lake Taylor Station,20051010,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051011,0800,18.5,-,-,-,24,D
Lake Taylor Station,20051012,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051013,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051014,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051015,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051016,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051017,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051018,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051019,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051020,0800,3.6,-,-,-,24,D
Lake Taylor Station,20051021,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051022,0800,1.2,-,-,-,24,D
Lake Taylor Station,20051023,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051024,0800,0.1,-,-,-,24,D
Lake Taylor Station,20051025,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051026,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051027,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051028,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051029,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051030,0800,10.0,-,-,-,24,D
Lake Taylor Station,20051031,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051101,0800,0.8,-,-,-,24,D
Lake Taylor Station,20051102,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051103,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051104,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051105,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051106,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051107,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051108,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051109,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051110,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051111,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051112,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051113,0800,3.0,-,-,-,24,D
Lake Taylor Station,20051114,0800,1.7,-,-,-,24,D
Lake Taylor Station,20051115,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051116,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051117,0800,2.0,-,-,-,24,D
Lake Taylor Station,20051118,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051119,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051120,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051121,0800,16.7,-,-,-,24,D
Lake Taylor Station,20051122,0800,6.7,-,-,-,24,D
Lake Taylor Station,20051123,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051124,0800,0.5,-,-,-,24,D
Lake Taylor Station,20051125,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051126,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051127,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051128,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051129,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051130,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051201,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051202,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051203,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051204,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051205,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051206,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051207,0800,11.9,-,-,-,24,D
Lake Taylor Station,20051208,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051209,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051210,0800,3.8,-,-,-,24,D
Lake Taylor Station,20051211,0800,0.0,-,-,-,24,D
Lake Taylor Station,20051212,0800,1.1,-,-,-,24,D
